Another word for 'sincere',Earnest,Intent,Austere,Callous,Responsive,Vivacious,1
Atonym of 'serious',Glutted,Vitalized,Heedful,Blasé,Koan,Sanguine,4
An instrument used for showing the direction of the wind,Compass,Weather Vane,Wind Enclosure,Radius Direction,Purview,Wind Farm,2
Another word for 'distraction',Red herring,Fanfaronade,Rapt,Beguil,Nonchalant,Jocund,1
Antonym of 'depressed',Lethargic,Morose,Alga,Affluent,Blithe,Callous,5
A loud and confused noise,Disparate,Cajole,Didactic,Krill,Mantra,Clamor,6
Antonym of 'dissuade',Flippant,Reverent,Cajole,Amenable,Candor,Palliate,3
Another word for 'mawkish',Mawmish,Austere,Sober,Mushy,Maverick,Giggling,4
High-spirited energy and movement,Kitsch,Zippy,Insurgent,Instigate,Fortuitious,Garrulous,2
Antonym of 'soften',Abate,Nadir,Maudlin,Inane,Inure,Sensitize,5
